Functie/Materiaal,Totaal,Prijs per eenheid,Kolom J
vaste bruggen Beton fiets/voet,17703,2200.0,38946512
vaste bruggen Staal fiets/voet,18258,2500.0,45645700
vaste bruggen Composiet fiets/voet,3574,1900.0,6791360
Vaste Houtenbruggen fiets/voet,3289,1500.0,4933005
vaste verkeersbruggen,57479,3000.0,172437300
Rijksmonument vast,2222,3250.0,7222085
Gem. monument vast,4833,3250.0,15707413
Landh.fd Oude Willemsbrug nz (gem. monument),0,2860.0,0
Willemsbrug,15936,20000.0,318726200
Viaducten,72597,4000.0,290388800
Stadionviadukt,15493,8000.0,123943040
Beweegbare bruggen verkeer,8396,15000.0,125940662
(klep en installatie),,,
Beweegbare bruggen (aanbruggen),27555,3500.0,96442381
Erasmusbrug,29828,20000.0,596566600
De Hef,2489,15000.0,37337550
Koninginnebrug,5060,12000.0,60722520
Rijksmonument bew. Bruggen,750,15000.0,11250000
Gem. monumenten bew. Bruggen,650,15000.0,9750000
Sluizen (waarvan 1 monument),5700.89,30000.0,171026700
Onderdoorgangen,42949,4500.0,193269690
Onderdoorgangen in Maastunneltrace,20939,6000.0,125634000
Kademuren,,15000000.0,450000000
Glooiingen,,4000000.0,76000000
Keermuur ,,208000.0,3328000
Vlonder(brug) / steigers / overige,15931,1200.0,19117140
